T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1125	0.0000	0.0000	45.0000	55.0000	739418.747146
0.2237	0.0000	0.0000	45.0000	55.0000	739418.747146
0.3334	0.0000	0.0000	45.0000	55.0000	739418.747146
0.4501	0.0000	0.0000	45.0000	55.0000	739418.747146
0.5667	0.0000	0.0000	45.0000	55.0000	739418.747146
0.6834	0.0000	0.0000	45.0000	55.0000	739418.747146
0.7835	0.0000	0.0000	45.0000	55.0000	739418.747146
0.9000	0.0000	0.0000	45.0000	55.0000	739418.747146
1.0169	0.0000	0.0000	45.0000	55.0000	739418.747146
1.1333	0.0000	0.0000	45.0000	55.0000	739418.747146
1.2335	0.0000	0.0000	45.0000	55.0000	739418.747146
1.3338	0.0000	0.0000	45.0000	55.0000	739418.747146
1.4501	0.0000	0.0000	45.0000	55.0000	739418.747146
1.5506	0.0000	0.0000	45.0000	55.0000	739418.747146
1.6668	0.0000	0.0000	45.0000	55.0000	739418.747146
1.7671	0.0000	0.0000	45.0000	55.0000	739418.747146
1.8835	0.0000	0.0000	45.0000	55.0000	739418.747146
2.0002	0.0000	0.0000	45.0000	55.0000	739418.747146
2.1167	0.0000	0.0000	45.0000	55.0000	739418.747146
2.2336	0.0000	0.0000	45.0000	55.0000	739418.747146
2.3502	0.0000	0.0000	45.0000	55.0000	739418.747146
2.4668	0.0000	0.0000	45.0000	55.0000	739418.747146
2.5836	-0.0212	0.0212	45.0000	55.0000	739418.747146
2.7000	-0.1789	0.1595	37.5000	55.0000	739418.747146
2.8168	-0.3559	0.2723	28.7500	55.0000	739418.747146
2.9170	-0.5197	0.3465	21.2500	55.0000	739418.747146
3.0336	-0.7212	0.4052	12.5000	55.0000	739418.747146
3.1501	-0.9271	0.4462	11.2500	55.0000	739418.747146
3.2503	-1.1037	0.4813	11.2500	55.0000	739418.747146
3.3668	-1.3122	0.5041	2.5000	55.0000	739418.747146
3.4833	-1.5218	0.4950	-6.2500	55.0000	739418.747146
3.5837	-1.6988	0.4625	-12.5000	55.0000	739418.747146
3.7003	-1.9068	0.4351	-3.7500	55.0000	739418.747146
3.8167	-2.1167	0.4357	1.2500	55.0000	739418.747146
3.9169	-2.2965	0.4436	5.0000	55.0000	739418.747146
4.0334	-2.5031	0.4800	13.7500	55.0000	739418.747146
4.1500	-2.7017	0.5474	22.5000	55.0000	739418.747146
4.2502	-2.8622	0.6288	30.0000	55.0000	739418.747146
4.3668	-3.0341	0.7491	38.7500	55.0000	739418.747146
4.4834	-3.1017	0.8084	47.5000	55.0000	739418.747146
4.5835	-3.1017	0.8084	55.0000	55.0000	739418.747146
4.7002	-3.1017	0.8084	63.7500	55.0000	739418.747146
4.8167	-3.1017	0.8084	72.5000	55.0000	739418.747146
4.9337	-3.1063	0.8381	81.2500	55.0000	739418.747146
5.0502	-3.1282	0.9842	90.0000	55.0000	739418.747146
5.1669	-3.1100	1.1932	98.7500	55.0000	739418.747146
5.2835	-3.0601	1.3970	107.5000	55.0000	739418.747146
5.3838	-2.9931	1.5639	115.0000	55.0000	739418.747146
5.5002	-2.8882	1.7456	123.7500	55.0000	739418.747146
5.6012	-2.7932	1.8983	118.7500	55.0000	739418.747146
5.7168	-2.7087	2.0904	110.0000	55.0000	739418.747146
5.8172	-2.6602	2.2636	102.5000	55.0000	739418.747146
5.9344	-2.6322	2.4715	95.0000	55.0000	739418.747146
6.0503	-2.6139	2.6807	95.0000	55.0000	739418.747146
6.1671	-2.5956	2.8899	95.0000	55.0000	739418.747146
6.2837	-2.5773	3.0991	95.0000	55.0000	739418.747146
6.4003	-2.5590	3.3083	95.0000	55.0000	739418.747146
6.5005	-2.5433	3.4877	95.0000	55.0000	739418.747146
6.6168	-2.5250	3.6969	95.0000	55.0000	739418.747146
6.7170	-2.5093	3.8762	95.0000	55.0000	739418.747146
6.8173	-2.4936	4.0555	95.0000	55.0000	739418.747146
6.9336	-2.4753	4.2647	95.0000	55.0000	739418.747146
7.0504	-2.4590	4.4740	92.5000	55.0000	739418.747146
7.1669	-2.4681	4.6836	83.7500	55.0000	739418.747146
7.2671	-2.5013	4.8604	76.2500	55.0000	739418.747146
7.3836	-2.5687	5.0591	67.5000	55.0000	739418.747146
7.5003	-2.6206	5.1672	58.7500	55.0000	739418.747146
7.6169	-2.6206	5.1672	50.0000	55.0000	739418.747146
7.7335	-2.6206	5.1672	41.2500	55.0000	739418.747146
7.8338	-2.6206	5.1672	33.7500	55.0000	739418.747146
7.9502	-2.6206	5.1672	25.0000	55.0000	739418.747146
8.0504	-2.6206	5.1672	17.5000	55.0000	739418.747146
8.1668	-2.6206	5.1672	8.7500	55.0000	739418.747146
8.2670	-2.6206	5.1672	1.2500	55.0000	739418.747146
8.3836	-2.4413	5.1810	-7.5000	55.0000	739418.747146
8.5002	-2.2364	5.2264	-16.2500	55.0000	739418.747146
8.6168	-2.2364	5.2264	-25.0000	55.0000	739418.747146
8.7336	-2.2364	5.2264	-33.7500	55.0000	739418.747146
8.8502	-2.2364	5.2264	-42.5000	55.0000	739418.747146
8.9671	-2.3353	5.1137	-51.2500	55.0000	739418.747146
9.0835	-2.4518	4.9392	-60.0000	55.0000	739418.747146
9.2003	-2.5405	4.7491	-68.7500	55.0000	739418.747146
9.3170	-2.6250	4.5570	-62.5000	55.0000	739418.747146
9.4335	-2.7377	4.3801	-53.7500	55.0000	739418.747146
9.5336	-2.8341	4.2652	-46.2500	55.0000	739418.747146
9.6337	-2.8341	4.2652	-38.7500	55.0000	739418.747146
9.7502	-2.8341	4.2652	-30.0000	55.0000	739418.747146
9.8670	-2.8341	4.2652	-21.2500	55.0000	739418.747146
9.9837	-2.8341	4.2652	-12.5000	55.0000	739418.747146
10.0838	-2.8341	4.2652	-15.0000	55.0000	739418.747146
10.2002	-2.8341	4.2652	-23.7500	55.0000	739418.747146
10.3006	-2.8598	4.2497	-31.2500	55.0000	739418.747146
10.4170	-3.0289	4.1256	-40.0000	55.0000	739418.747146
10.5335	-3.1930	3.9948	-35.0000	55.0000	739418.747146
10.6337	-3.3478	3.9032	-27.5000	55.0000	739418.747146
10.7342	-3.5132	3.8325	-20.0000	55.0000	739418.747146
10.8503	-3.7159	3.7782	-11.2500	55.0000	739418.747146
10.9670	-3.9218	3.7372	-11.2500	55.0000	739418.747146
11.0671	-4.0984	3.7021	-11.2500	55.0000	739418.747146
11.1673	-4.2749	3.6670	-11.2500	55.0000	739418.747146
11.2836	-4.4800	3.6222	-15.0000	55.0000	739418.747146
11.4002	-4.6772	3.5505	-23.7500	55.0000	739418.747146
11.5004	-4.8358	3.4657	-31.2500	55.0000	739418.747146
11.6170	-5.0050	3.3416	-40.0000	55.0000	739418.747146
11.7180	-5.1336	3.2158	-47.5000	55.0000	739418.747146
11.8335	-5.2613	3.0494	-56.2500	55.0000	739418.747146
11.9343	-5.3495	2.8926	-63.7500	55.0000	739418.747146
12.0504	-5.4255	2.6971	-72.5000	55.0000	739418.747146
12.1669	-5.4710	2.4923	-81.2500	55.0000	739418.747146
12.2674	-5.4847	2.3129	-88.7500	55.0000	739418.747146
12.3835	-5.4893	2.1030	-88.7500	55.0000	739418.747146
12.5004	-5.4938	1.8930	-88.7500	55.0000	739418.747146
12.6169	-5.4984	1.6831	-88.7500	55.0000	739418.747146
12.7336	-5.5030	1.4731	-88.7500	55.0000	739418.747146
12.8504	-5.5076	1.2632	-88.7500	55.0000	739418.747146
12.9668	-5.5122	1.0532	-88.7500	55.0000	739418.747146
13.0670	-5.5226	0.8736	-83.7500	55.0000	739418.747146
13.1836	-5.5636	0.6678	-75.0000	55.0000	739418.747146
13.3004	-5.6353	0.4707	-66.2500	55.0000	739418.747146
13.4168	-5.7362	0.2867	-57.5000	55.0000	739418.747146
13.5170	-5.8442	0.1429	-50.0000	55.0000	739418.747146
13.6334	-5.9925	-0.0055	-41.2500	55.0000	739418.747146
13.7336	-6.1341	-0.1166	-37.5000	55.0000	739418.747146
0.1051	0.0000	0.0000	45.0000	55.0000	739418.857389
0.2146	0.0000	0.0000	45.0000	55.0000	739418.857389
0.3270	0.0000	0.0000	45.0000	55.0000	739418.857389
0.4359	0.0000	0.0000	45.0000	55.0000	739418.857389
0.5525	0.0000	0.0000	45.0000	55.0000	739418.857389
0.6691	0.0000	0.0000	45.0000	55.0000	739418.857389
0.7694	0.0000	0.0000	45.0000	55.0000	739418.857389
0.8858	0.0000	0.0000	45.0000	55.0000	739418.857389
0.9860	0.0000	0.0000	45.0000	55.0000	739418.857389
1.1026	0.0000	0.0000	45.0000	55.0000	739418.857389
1.2190	0.0000	0.0000	45.0000	55.0000	739418.857389
1.3362	0.0000	0.0000	45.0000	55.0000	739418.857389
1.4527	0.0000	0.0000	45.0000	55.0000	739418.857389
1.5691	0.0000	0.0000	45.0000	55.0000	739418.857389
1.6698	-0.0849	0.0849	45.0000	55.0000	739418.857389
1.7859	-0.2333	0.2333	45.0000	55.0000	739418.857389
1.9024	-0.3818	0.3818	45.0000	55.0000	739418.857389
2.0035	-0.5091	0.5091	45.0000	55.0000	739418.857389
2.1192	-0.6576	0.6576	45.0000	55.0000	739418.857389
2.2357	-0.8061	0.8061	45.0000	55.0000	739418.857389
2.3523	-0.9546	0.9546	45.0000	55.0000	739418.857389
2.4525	-1.0819	1.0819	45.0000	55.0000	739418.857389
2.5526	-1.1455	1.1455	45.0000	55.0000	739418.857389
2.6692	-1.1455	1.1455	45.0000	55.0000	739418.857389
2.7693	-1.1455	1.1455	45.0000	55.0000	739418.857389
2.8860	-1.1455	1.1455	45.0000	55.0000	739418.857389
2.9863	-1.1455	1.1455	45.0000	55.0000	739418.857389
3.1025	-1.1455	1.1455	38.7500	55.0000	739418.857389
3.2035	-1.1455	1.1455	31.2500	55.0000	739418.857389
3.3192	-1.1455	1.1455	28.7500	55.0000	739418.857389
