T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1146	0.0000	0.0000	45.0000	55.0000	739302.829086
0.2312	0.0000	0.0000	45.0000	55.0000	739302.829086
0.3481	0.0000	0.0000	45.0000	55.0000	739302.829086
0.4645	0.0000	0.0000	45.0000	55.0000	739302.829086
0.5647	0.0000	0.0000	45.0000	55.0000	739302.829086
0.6648	0.0000	0.0000	45.0000	55.0000	739302.829086
0.7814	0.0000	0.0000	45.0000	55.0000	739302.829086
0.8980	0.0000	0.0000	45.0000	55.0000	739302.829086
1.0147	0.0000	0.0000	45.0000	55.0000	739302.829086
1.1310	0.0000	0.0000	45.0000	55.0000	739302.829086
1.2313	0.0000	0.0000	63.0000	55.0000	739302.829086
1.3479	0.0000	0.0000	84.0000	55.0000	739302.829086
1.4482	-0.0314	0.2984	84.0000	55.0000	739302.829086
1.5645	-0.0314	0.2984	84.0000	55.0000	739302.829086
1.6648	-0.0314	0.2984	84.0000	55.0000	739302.829086
1.7810	-0.0314	0.2984	84.0000	55.0000	739302.829086
1.8978	-0.0314	0.2984	78.0000	55.0000	739302.829086
1.9980	-0.0314	0.2984	60.0000	55.0000	739302.829086
2.1145	-0.0314	0.2984	57.0000	55.0000	739302.829086
2.2316	-0.0314	0.2984	57.0000	55.0000	739302.829086
2.3478	-0.2356	0.6129	57.0000	55.0000	739302.829086
2.4479	-0.4807	0.9903	57.0000	55.0000	739302.829086
2.5480	-0.7258	1.3677	57.0000	55.0000	739302.829086
2.6645	-1.0117	1.8080	57.0000	55.0000	739302.829086
2.7812	-1.2976	2.2483	57.0000	55.0000	739302.829086
2.8812	-1.3385	2.3112	57.0000	55.0000	739302.829086
2.9979	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.1148	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.2312	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.3314	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.4319	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.5479	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.6481	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.7645	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.8648	-1.3385	2.3112	57.0000	55.0000	739302.829086
3.9811	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.0979	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.2147	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.3314	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.4479	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.5482	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.6646	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.7838	-1.3385	2.3112	57.0000	55.0000	739302.829086
4.8980	-1.3385	2.3112	57.0000	55.0000	739302.829086
5.0146	-1.3385	2.3112	57.0000	55.0000	739302.829086
5.1313	-1.3385	2.3112	57.0000	55.0000	739302.829086
5.2316	-1.3385	2.3112	57.0000	55.0000	739302.829086
5.3480	-1.3385	2.3112	57.0000	55.0000	739302.829086
5.4482	-1.3385	2.3112	57.0000	55.0000	739302.829086
5.5647	-1.3385	2.3112	57.0000	55.0000	739302.829086
5.6834	-1.3385	2.3112	51.0000	55.0000	739302.829086
5.7980	-1.6410	2.5310	30.0000	55.0000	739302.829086
5.9146	-1.6410	2.5310	9.0000	55.0000	739302.829086
6.0314	-1.6410	2.5310	-6.0000	55.0000	739302.829086
6.1480	-1.6410	2.5310	-6.0000	55.0000	739302.829086
6.2650	-1.6410	2.5310	-6.0000	55.0000	739302.829086
6.3812	-1.6410	2.5310	-6.0000	55.0000	739302.829086
6.4978	-2.0886	2.4839	-6.0000	55.0000	739302.829086
6.5979	-2.5361	2.4369	-6.0000	55.0000	739302.829086
6.6985	-2.9836	2.3899	-6.0000	55.0000	739302.829086
6.7991	-3.4312	2.3428	-6.0000	55.0000	739302.829086
6.9145	-3.9533	2.2880	-6.0000	55.0000	739302.829086
7.0148	-4.4008	2.2409	-6.0000	55.0000	739302.829086
7.1313	-4.9230	2.1860	-6.0000	55.0000	739302.829086
7.2480	-5.4446	2.1273	-9.0000	55.0000	739302.829086
7.3647	-5.5179	2.1117	-30.0000	55.0000	739302.829086
7.4830	-5.5179	2.1117	-51.0000	55.0000	739302.829086
7.5978	-5.5179	2.1117	-72.0000	55.0000	739302.829086
7.6981	-5.5179	2.1117	-84.0000	55.0000	739302.829086
7.8146	-5.5415	1.8879	-84.0000	55.0000	739302.829086
7.9312	-5.5963	1.3658	-84.0000	55.0000	739302.829086
8.0480	-5.6512	0.8437	-84.0000	55.0000	739302.829086
8.1646	-5.7061	0.3215	-84.0000	55.0000	739302.829086
8.2649	-5.8334	-0.1082	-66.0000	55.0000	739302.829086
8.3811	-5.8674	-0.1750	-54.0000	55.0000	739302.829086
8.4812	-5.8674	-0.1750	-54.0000	55.0000	739302.829086
8.5826	-5.8674	-0.1750	-54.0000	55.0000	739302.829086
8.6978	-5.8674	-0.1750	-54.0000	55.0000	739302.829086
8.7981	-5.8674	-0.1750	-54.0000	55.0000	739302.829086
8.9148	-5.8674	-0.1750	-39.0000	55.0000	739302.829086
9.0314	-5.8674	-0.1750	-27.0000	55.0000	739302.829086
9.1317	-5.8674	-0.1750	-27.0000	55.0000	739302.829086
