T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1087	0.0000	0.0000	45.0000	55.0000	739536.489991
0.2255	0.0000	0.0000	45.0000	55.0000	739536.489991
0.3271	0.0000	0.0000	45.0000	55.0000	739536.489991
0.4272	0.0000	0.0000	45.0000	55.0000	739536.489991
0.5440	0.0000	0.0000	45.0000	55.0000	739536.489991
0.6441	0.0000	0.0000	51.1000	55.0000	739536.489991
0.7605	0.0000	0.0000	59.6400	55.0000	739536.489991
0.8774	0.0000	0.0000	59.6400	55.0000	739536.489991
0.9940	-0.0708	0.1208	59.6400	55.0000	739536.489991
1.1105	-0.1415	0.2416	59.6400	55.0000	739536.489991
1.2107	-0.2022	0.3451	59.6400	55.0000	739536.489991
1.3110	-0.2628	0.4487	59.6400	55.0000	739536.489991
1.4274	-0.3336	0.5695	59.6400	55.0000	739536.489991
1.5440	-0.4043	0.6903	59.6400	55.0000	739536.489991
1.6605	-0.4751	0.8111	59.6400	55.0000	739536.489991
1.7607	-0.5358	0.9146	59.6400	55.0000	739536.489991
1.8774	-0.6065	1.0354	59.6400	55.0000	739536.489991
1.9939	-0.6773	1.1562	59.6400	55.0000	739536.489991
2.1110	-0.7480	1.2770	59.6400	55.0000	739536.489991
2.2272	-0.8188	1.3978	59.6400	55.0000	739536.489991
2.3273	-0.8390	1.4324	59.6400	55.0000	739536.489991
2.4442	-0.8390	1.4324	59.6400	55.0000	739536.489991
2.5604	-0.8390	1.4324	59.6400	55.0000	739536.489991
2.6605	-0.8390	1.4324	59.6400	55.0000	739536.489991
2.7608	-0.8390	1.4324	53.5400	55.0000	739536.489991
2.8609	-0.9124	1.5273	52.3200	55.0000	739536.489991
2.9775	-0.9979	1.6381	52.3200	55.0000	739536.489991
3.0950	-1.0835	1.7489	52.3200	55.0000	739536.489991
3.2108	-1.1691	1.8597	52.3200	55.0000	739536.489991
3.3275	-1.2547	1.9705	52.3200	55.0000	739536.489991
3.4444	-1.3402	2.0813	52.3200	55.0000	739536.489991
3.5608	-1.4258	2.1921	52.3200	55.0000	739536.489991
3.6609	-1.4869	2.2713	52.3200	55.0000	739536.489991
3.7775	-1.4869	2.2713	58.4200	55.0000	739536.489991
3.8777	-1.4869	2.2713	65.7400	55.0000	739536.489991
3.9941	-1.4869	2.2713	74.2800	55.0000	739536.489991
4.0942	-1.4869	2.2713	77.9400	55.0000	739536.489991
4.2109	-1.4869	2.2713	77.9400	55.0000	739536.489991
4.3275	-1.4869	2.2713	77.9400	55.0000	739536.489991
4.4276	-1.4953	2.3104	77.9400	55.0000	739536.489991
4.5443	-1.5246	2.4473	77.9400	55.0000	739536.489991
4.6607	-1.5538	2.5842	77.9400	55.0000	739536.489991
4.7777	-1.5831	2.7211	77.9400	55.0000	739536.489991
4.8790	-1.6081	2.8385	77.9400	55.0000	739536.489991
4.9946	-1.6374	2.9754	77.9400	55.0000	739536.489991
5.1109	-1.6666	3.1123	77.9400	55.0000	739536.489991
5.2276	-1.6959	3.2492	77.9400	55.0000	739536.489991
5.3536	-1.7251	3.3861	77.9400	55.0000	739536.489991
5.4608	-1.7544	3.5230	77.9400	55.0000	739536.489991
5.5790	-1.7836	3.6599	77.9400	55.0000	739536.489991
5.6790	-1.8087	3.7773	77.9400	55.0000	739536.489991
5.7942	-1.8380	3.9142	77.9400	55.0000	739536.489991
5.9110	-1.8672	4.0511	77.9400	55.0000	739536.489991
6.0273	-1.8672	4.0511	77.9400	55.0000	739536.489991
6.1274	-1.8672	4.0511	77.9400	55.0000	739536.489991
6.2276	-1.8672	4.0511	71.8400	55.0000	739536.489991
6.3442	-1.8672	4.0511	63.3000	55.0000	739536.489991
6.4609	-1.8672	4.0511	54.7600	55.0000	739536.489991
6.5790	-1.8672	4.0511	52.3200	55.0000	739536.489991
6.6943	-1.8672	4.0511	52.3200	55.0000	739536.489991
