T	X	Y	HEADING	PERPSECTIVE_ANGLE	NOW_NUM
0.1179	0.0000	0.0000	45.0000	55.0000	739697.489430
0.2206	0.0000	0.0000	45.0000	55.0000	739697.489430
0.3372	0.0000	0.0000	45.0000	55.0000	739697.489430
0.4433	0.0000	0.0000	45.0000	55.0000	739697.489430
0.5599	0.0000	0.0000	45.0000	55.0000	739697.489430
0.6767	0.0000	0.0000	45.0000	55.0000	739697.489430
0.7935	0.0000	0.0000	45.0000	55.0000	739697.489430
0.9101	0.0000	0.0000	45.0000	55.0000	739697.489430
1.0103	-0.0424	0.0424	45.0000	55.0000	739697.489430
1.1271	-0.1414	0.1414	45.0000	55.0000	739697.489430
1.2439	-0.2404	0.2404	45.0000	55.0000	739697.489430
1.3440	-0.2828	0.2828	45.0000	55.0000	739697.489430
1.4607	-0.2828	0.2828	42.5600	55.0000	739697.489430
1.5608	-0.2828	0.2828	35.2400	55.0000	739697.489430
1.6776	-0.2828	0.2828	26.7000	55.0000	739697.489430
1.7943	-0.2828	0.2828	18.1600	55.0000	739697.489430
1.8944	-0.2828	0.2828	16.9400	55.0000	739697.489430
1.9946	-0.3402	0.3003	16.9400	55.0000	739697.489430
2.0947	-0.4550	0.3353	16.9400	55.0000	739697.489430
2.1954	-0.5698	0.3703	16.9400	55.0000	739697.489430
2.2962	-0.6846	0.4052	16.9400	55.0000	739697.489430
2.4121	-0.8185	0.4460	16.9400	55.0000	739697.489430
2.5289	-0.9333	0.4810	16.9400	55.0000	739697.489430
2.6290	-0.9333	0.4810	16.9400	55.0000	739697.489430
2.7291	-0.9333	0.4810	12.0600	55.0000	739697.489430
2.8457	-0.9333	0.4810	3.5200	55.0000	739697.489430
2.9626	-0.9732	0.4779	-5.0200	55.0000	739697.489430
3.0793	-1.1124	0.4627	-6.2400	55.0000	739697.489430
3.1796	-1.2317	0.4496	-6.2400	55.0000	739697.489430
3.2962	-1.3708	0.4344	-6.2400	55.0000	739697.489430
3.3964	-1.4907	0.4303	1.0800	55.0000	739697.489430
3.5132	-1.6300	0.4436	7.1800	55.0000	739697.489430
3.6299	-1.7689	0.4611	7.1800	55.0000	739697.489430
3.7466	-1.9078	0.4786	7.1800	55.0000	739697.489430
3.8468	-2.0269	0.4936	7.1800	55.0000	739697.489430
3.9469	-2.1449	0.5149	13.2800	55.0000	739697.489430
4.0635	-2.2778	0.5584	21.8200	55.0000	739697.489430
4.1636	-2.3855	0.6112	29.1400	55.0000	739697.489430
4.2803	-2.5014	0.6894	37.6800	55.0000	739697.489430
4.3970	-2.6044	0.7840	46.2200	55.0000	739697.489430
4.4973	-2.6875	0.8707	46.2200	55.0000	739697.489430
4.5974	-2.7705	0.9573	46.2200	55.0000	739697.489430
4.7141	-2.8397	1.0295	46.2200	55.0000	739697.489430
4.8310	-2.8397	1.0295	45.0000	55.0000	739697.489430
4.9478	-2.8397	1.0295	36.4600	55.0000	739697.489430
5.0479	-2.8397	1.0295	29.1400	55.0000	739697.489430
5.1480	-2.8397	1.0295	21.8200	55.0000	739697.489430
5.2645	-2.9548	1.0632	13.2800	55.0000	739697.489430
5.3646	-3.0732	1.0820	5.9600	55.0000	739697.489430
5.4812	-3.2131	1.0847	-2.5800	55.0000	739697.489430
5.5817	-3.3325	1.0729	-6.2400	55.0000	739697.489430
5.6983	-3.4716	1.0577	-6.2400	55.0000	739697.489430
5.7986	-3.5912	1.0489	-1.3600	55.0000	739697.489430
5.8994	-3.7110	1.0550	5.9600	55.0000	739697.489430
6.0151	-3.8485	1.0809	13.2800	55.0000	739697.489430
6.1321	-3.9841	1.1155	16.9400	55.0000	739697.489430
6.2490	-4.1163	1.1615	19.3800	55.0000	739697.489430
6.3654	-4.2484	1.2080	19.3800	55.0000	739697.489430
6.4824	-4.3804	1.2545	19.3800	55.0000	739697.489430
6.5826	-4.4936	1.2943	19.3800	55.0000	739697.489430
6.6992	-4.6257	1.3407	19.3800	55.0000	739697.489430
6.7993	-4.7389	1.3805	19.3800	55.0000	739697.489430
6.8994	-4.8512	1.4228	23.0400	55.0000	739697.489430
7.0162	-4.9748	1.4882	31.5800	55.0000	739697.489430
7.1330	-5.0873	1.5714	40.1200	55.0000	739697.489430
7.2331	-5.1730	1.6553	47.4400	55.0000	739697.489430
7.3333	-5.2473	1.7494	54.7600	55.0000	739697.489430
7.4497	-5.3180	1.8701	63.3000	55.0000	739697.489430
7.5501	-5.3571	1.9621	70.6200	55.0000	739697.489430
7.6502	-5.3571	1.9621	77.9400	55.0000	739697.489430
7.7503	-5.3571	1.9621	85.2600	55.0000	739697.489430
7.8505	-5.3571	1.9621	92.5800	55.0000	739697.489430
7.9672	-5.3571	1.9621	101.1200	55.0000	739697.489430
8.0838	-5.3571	1.9621	109.6600	55.0000	739697.489430
8.2004	-5.3571	1.9621	118.2000	55.0000	739697.489430
8.3008	-5.3571	1.9621	125.5200	55.0000	739697.489430
8.4009	-5.3571	1.9621	132.8400	55.0000	739697.489430
8.5176	-5.3571	1.9621	141.3800	55.0000	739697.489430
8.6344	-5.3571	1.9621	149.9200	55.0000	739697.489430
8.7345	-5.3571	1.9621	157.2400	55.0000	739697.489430
8.8346	-5.3571	1.9621	164.5600	55.0000	739697.489430
8.9347	-5.3571	1.9621	171.8800	55.0000	739697.489430
9.0348	-5.3571	1.9621	179.2000	55.0000	739697.489430
9.1349	-5.3571	1.9621	186.5200	55.0000	739697.489430
9.2350	-5.3571	1.9621	193.8400	55.0000	739697.489430
9.3518	-5.3200	1.9472	202.3800	55.0000	739697.489430
9.4522	-5.2122	1.8946	207.2600	55.0000	739697.489430
9.5686	-5.0850	1.8362	203.6000	55.0000	739697.489430
9.6688	-4.9745	1.7893	201.1600	55.0000	739697.489430
9.7854	-4.8414	1.7460	197.5000	55.0000	739697.489430
9.9020	-4.7079	1.7039	197.5000	55.0000	739697.489430
10.0189	-4.5744	1.6618	197.5000	55.0000	739697.489430
10.1358	-4.4401	1.6222	193.8400	55.0000	739697.489430
10.2359	-4.3219	1.6022	186.5200	55.0000	739697.489430
10.3524	-4.1821	1.5982	177.9800	55.0000	739697.489430
10.4527	-4.0629	1.6114	170.6600	55.0000	739697.489430
10.5528	-3.9463	1.6396	163.3400	55.0000	739697.489430
10.6529	-3.8343	1.6824	156.0200	55.0000	739697.489430
10.7531	-3.7983	1.6999	148.7000	55.0000	739697.489430
10.8698	-3.7983	1.6999	140.1600	55.0000	739697.489430
10.9699	-3.7983	1.6999	132.8400	55.0000	739697.489430
11.0700	-3.7983	1.6999	125.5200	55.0000	739697.489430
11.1701	-3.7983	1.6999	118.2000	55.0000	739697.489430
11.2868	-3.7769	1.7559	109.6600	55.0000	739697.489430
11.4032	-3.7412	1.8911	101.1200	55.0000	739697.489430
11.5033	-3.7206	2.0094	99.9000	55.0000	739697.489430
11.6035	-3.7000	2.1276	99.9000	55.0000	739697.489430
11.7037	-3.6793	2.2458	99.9000	55.0000	739697.489430
11.8204	-3.6553	2.3837	99.9000	55.0000	739697.489430
11.9206	-3.6351	2.5020	98.6800	55.0000	739697.489430
12.0374	-3.6258	2.6415	90.1400	55.0000	739697.489430
12.1377	-3.6340	2.7612	84.0400	55.0000	739697.489430
12.2544	-3.6485	2.9005	84.0400	55.0000	739697.489430
12.3708	-3.6626	3.0397	85.2600	55.0000	739697.489430
12.4879	-3.6650	3.1197	93.8000	55.0000	739697.489430
12.6047	-3.6607	3.1392	102.3400	55.0000	739697.489430
12.7048	-3.6351	3.2564	102.3400	55.0000	739697.489430
12.8213	-3.6052	3.3932	102.3400	55.0000	739697.489430
12.9215	-3.5795	3.5104	102.3400	55.0000	739697.489430
13.0216	-3.5539	3.6277	102.3400	55.0000	739697.489430
13.1386	-3.5240	3.7644	102.3400	55.0000	739697.489430
13.2552	-3.4854	3.8989	109.6600	55.0000	739697.489430
13.3720	-3.4273	4.0261	118.2000	55.0000	739697.489430
13.4888	-3.3510	4.1433	126.7400	55.0000	739697.489430
13.6053	-3.2581	4.2479	135.2800	55.0000	739697.489430
13.7057	-3.1668	4.3257	142.6000	55.0000	739697.489430
13.8223	-3.0489	4.4009	151.1400	55.0000	739697.489430
13.9392	-2.9211	4.4577	159.6800	55.0000	739697.489430
14.0560	-2.7862	4.4950	168.2200	55.0000	739697.489430
14.1727	-2.6474	4.5122	175.5400	55.0000	739697.489430
14.2728	-2.5278	4.5215	175.5400	55.0000	739697.489430
14.3729	-2.4081	4.5309	175.5400	55.0000	739697.489430
14.4730	-2.2885	4.5402	175.5400	55.0000	739697.489430
14.5897	-2.1490	4.5515	174.3200	55.0000	739697.489430
14.6898	-2.0308	4.5722	167.0000	55.0000	739697.489430
14.7901	-1.9163	4.6078	159.6800	55.0000	739697.489430
14.9068	-1.7898	4.6674	151.1400	55.0000	739697.489430
15.0231	-1.6735	4.7451	142.6000	55.0000	739697.489430
15.1233	-1.6425	4.7704	138.9400	55.0000	739697.489430
15.2402	-1.6425	4.7704	138.9400	55.0000	739697.489430
15.3404	-1.6123	4.7966	138.9400	55.0000	739697.489430
15.4405	-1.5218	4.8755	138.9400	55.0000	739697.489430
15.5573	-1.4163	4.9674	138.9400	55.0000	739697.489430
15.6737	-1.3107	5.0594	138.9400	55.0000	739697.489430
15.7737	-1.2194	5.1372	141.3800	55.0000	739697.489430
15.8743	-1.2194	5.1372	148.7000	55.0000	739697.489430
15.9910	-1.1300	5.1821	153.5800	55.0000	739697.489430
16.0911	-1.0238	5.2378	149.9200	55.0000	739697.489430
16.2079	-0.9055	5.3127	147.4800	55.0000	739697.489430
16.3081	-0.8043	5.3772	147.4800	55.0000	739697.489430
16.4244	-0.6863	5.4524	147.4800	55.0000	739697.489430
16.5415	-0.5684	5.5280	146.2600	55.0000	739697.489430
16.6417	-0.4740	5.6019	138.9400	55.0000	739697.489430
16.7585	-0.3721	5.6980	136.5000	55.0000	739697.489430
16.8753	-0.2706	5.7943	136.5000	55.0000	739697.489430
16.9920	-0.1690	5.8907	136.5000	55.0000	739697.489430
17.1087	-0.0675	5.9871	136.5000	55.0000	739697.489430
17.2256	0.0341	6.0834	136.5000	55.0000	739697.489430
17.3419	0.1357	6.1798	136.5000	55.0000	739697.489430
