MAZE_FILE_INDEX	BLOCK	TOUR_HAND	IS_COMPLETE	DELTA_T	N_ERRORS	EOL_RATING	JOL_RATING	RCJ_RATING	PLAYER_LIN_VEL	PLAYER_RAD_VEL	PLAYER_BODY_RADIUS	N_PRAC_TRIALS	N_BLOCKS	TOUR_LIN_VEL	TOUR_RAD_VEL	FRAME_RATE	PERSPEC_ANGLE	EYE_LEVEL	COORD_T_INTERVAL	COORD_MAX_T	N_ROWS	N_COLS	NOW_NUM	DATE
1	1	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
2	2	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
3	3	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
4	4	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
5	5	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
6	6	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
7	7	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
8	8	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
9	9	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
10	10	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
11	11	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
12	12	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
13	13	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
14	14	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
15	15	1	1	14.0624	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
16	16	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
17	17	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
18	18	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
19	19	1	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
20	20	2	0	0.0000	0	0	0	0	0.0300	1.2500	0.1250	1	20	0.0750	1.2500	60.0000	55.0000	-0.4000	0.1000	240.0000	1920	1080	739488.757390	24-Aug-2024 18:10:38
