TIME(2024/08/31 19:09:10.893),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,USER,GSR,GSRV,HR,HRV,
0.00000,0.47780,0.90830,0.00000,0.00000,1,0,,0,0,0,0,
0.01416,0.51887,0.73077,0.00000,0.00000,1,0,,0,0,0,0,
0.02759,0.50984,0.72477,0.00000,0.00000,1,0,,0,0,0,0,
0.04175,0.44901,0.98727,0.00000,0.00000,1,0,,0,0,0,0,
0.05542,0.42874,1.07477,0.00000,0.00000,1,0,,0,0,0,0,
0.06909,0.47704,1.18089,0.00000,0.00000,1,0,,0,0,0,0,
0.08325,0.71304,1.40748,0.00000,0.00000,1,0,,0,0,0,0,
0.09717,0.79171,1.48301,0.00000,0.00000,1,0,,0,0,0,0,
0.11108,0.94905,1.63407,0.00000,0.00000,1,0,,0,0,0,0,
0.12476,0.81542,1.18092,0.00000,0.00000,1,0,,0,0,0,0,
0.13892,0.77088,1.02987,0.00000,0.00000,1,0,,0,0,0,0,
0.15259,0.66080,0.63241,0.00000,0.00000,1,0,,0,0,0,0,
0.16675,0.66080,0.63241,0.00000,0.00000,1,0,,0,0,0,0,
0.18066,0.66080,0.63241,0.00000,0.00000,1,0,,0,0,0,0,
0.19434,0.41801,1.39018,0.00000,0.00000,1,0,,0,0,0,0,
0.20801,0.51170,1.05478,0.00000,0.00000,1,0,,0,0,0,0,
0.22192,0.54293,0.94298,0.00000,0.00000,1,0,,0,0,0,0,
0.23560,0.74543,0.80971,0.00000,0.00000,1,0,,0,0,0,0,
0.24927,0.65560,0.76483,0.00000,0.00000,1,0,,0,0,0,0,
0.26318,0.62566,0.74987,0.00000,0.00000,1,0,,0,0,0,0,
0.27734,0.68426,1.00329,0.00000,0.00000,1,0,,0,0,0,0,
0.29102,0.51494,1.24752,0.00000,0.00000,1,0,,0,0,0,0,
0.30542,0.45850,1.32894,0.00000,0.00000,1,0,,0,0,0,0,
0.31860,0.41183,1.39201,0.00000,0.00000,1,0,,0,0,0,0,
0.33301,0.41183,1.39201,0.00000,0.00000,1,0,,0,0,0,0,
0.34644,0.41183,1.39201,0.00000,0.00000,1,0,,0,0,0,0,
0.36108,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.37402,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.38818,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.40210,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.41602,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.42969,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.44385,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.45752,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.47241,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.48633,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.49902,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.51294,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.52686,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.54053,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.55444,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.56812,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.58301,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.59644,0.27212,0.59626,0.00000,0.00000,1,0,,0,0,0,0,
0.61060,0.65316,0.94566,0.00000,0.00000,1,0,,0,0,0,0,
0.62402,0.74775,1.01939,0.00000,0.00000,1,0,,0,0,0,0,
0.63843,0.77610,1.04457,0.00000,0.00000,1,0,,0,0,0,0,
0.65186,0.90044,1.27661,0.00000,0.00000,1,0,,0,0,0,0,
0.66553,0.93748,1.56182,0.00000,0.00000,1,0,,0,0,0,0,
0.67944,0.93244,1.63348,0.00000,0.00000,1,0,,0,0,0,0,
0.69385,1.00924,1.94145,0.00000,0.00000,1,0,,0,0,0,0,
0.70752,1.00924,1.94145,0.00000,0.00000,1,0,,0,0,0,0,
0.72144,1.00924,1.94145,0.00000,0.00000,1,0,,0,0,0,0,
0.74756,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.75586,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.76929,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.78345,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.79736,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.81104,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.82446,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.83911,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.85229,0.45291,-0.15792,0.00000,0.00000,1,0,,0,0,0,0,
0.86743,0.90582,-0.31585,0.00000,0.00000,1,0,,0,0,0,0,
0.88062,0.90582,-0.31585,0.00000,0.00000,1,0,,0,0,0,0,
0.89771,0.95875,-0.41470,0.00000,0.00000,1,0,,0,0,0,0,
0.90796,1.01168,-0.51356,0.00000,0.00000,1,0,,0,0,0,0,
0.92188,1.01168,-0.51356,0.00000,0.00000,1,0,,0,0,0,0,
0.93579,1.01168,-0.51356,0.00000,0.00000,1,0,,0,0,0,0,
0.94995,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.97559,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.98340,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.99121,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.00562,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.01904,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.03271,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.04663,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.06055,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.07446,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.08813,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.10205,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.11621,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.12988,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.14429,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
