OrderNumber,MazeNumber,Cue1,Cue2,LearningStart,LearningEnd,ExperimentStart,ExperimentEnd,ExperimentCondition,OBJECT_1_LearningGazeTime,OBJECT_1_ExperimentGazeTime,OBJECT_2_LearningGazeTime,OBJECT_2_ExperimentGazeTime,SUM_OBJECT_LearningGazeTime,SUM_OBJECT_ExperimentGazeTime,DISTAL_LearningGazeTime,DISTAL_ExperimentGazeTime,HesitancyTimeLearning,HesitancyTimeExperiment,SkyTimeLearning,SkyTimeExperiment,GroundTimeLearning,GroundTimeExperiment,OBJECT_1_LearnFixationCount,OBJECT_2_LearnFixationCount,DISTAL_LearnFixationCount,OBJECT_1_ExpFixationCount,OBJECT_2_ExpFixationCount,DISTAL_ExpFixationCount,SUM_OBJECT_LearnFixationCount,SUM_OBJECT_ExpFixationCount,TotalFixationLearning,TotalFixationExperiment,AverageGalvanicSkinLearning,AverageGalvanicSkinExperiment,AverageHeartRateLearning,AverageHeartRateExperiment
0,0,,,3243,4353,4430,8001,PROXIMAL AND DISTAL CONDITION,0,0,0,0,0,0,5.19881,0,7.3065,0,2.644,0.66484,4.61587,7.24082,0,0,4,0,0,0,0,0,39,45,0,0,0,0
1,18,RADIOJUNE.OBJ ,BED.OBJ,9097,11540,11821,13691,PROXIMAL AND DISTAL CONDITION,7.15891,0,0,0,7.15891,0,0,6.5865,7.54,12.6284,1.11565,13.25879,7.83859,1.44177,3,0,0,0,0,4,3,0,56,65,0,0,0,0
2,13,CABINENT.OBJ ,CAR.OBJ,16769,19953,20233,23244,PROXIMAL AND DISTAL CONDITION,7.11172,0.16733,7.35294,6.99199,14.46466,7.15932,0,6.63065,12.0941,25.6407,0.50503,2.43799,10.40083,8.10105,1,1,0,1,2,3,2,3,62,76,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
