TIME(2024/06/20 12:42:32.452),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,USER,GSR,GSRV,HR,HRV,
0.17993,0.53593,0.34514,0.00000,0.17993,1,1,,0,0,85,0,
0.58154,0.57336,0.34716,0.19409,0.38745,2,1,,0,0,85,0,
0.87280,0.56576,0.47165,0.59546,0.27734,3,1,,0,0,85,0,
1.57275,0.58538,0.85110,0.93994,0.63281,4,1,,0,0,85,0,
2.72339,0.61781,1.02946,1.62842,1.09497,5,1,,0,0,85,0,
3.12524,0.61870,0.92478,2.94507,0.18018,6,1,,0,0,85,0,
3.36108,0.46823,0.58334,3.18140,0.17969,7,1,,0,0,85,0,
3.73511,0.39017,0.49542,3.37476,0.36035,8,1,,0,0,85,0,
3.99854,0.37134,0.35154,3.74927,0.24927,9,1,,0,0,85,0,
4.40161,0.31892,0.27552,4.01245,0.38916,10,1,,0,0,85,0,
4.69189,0.34749,0.24617,4.41455,0.27734,11,1,,0,0,85,0,
4.87207,0.36098,0.28789,4.70581,0.16626,12,1,,0,0,85,0,
5.07959,0.35339,0.30706,4.88623,0.19336,13,1,,0,0,85,0,
5.30176,0.41153,0.37766,5.13501,0.16675,14,1,,0,0,85,0,
5.80078,0.43190,0.51061,5.35742,0.44336,15,1,,0,0,85,0,
6.21704,0.43153,0.57264,6.02222,0.19482,16,1,,0,0,85,0,
7.04810,0.40443,0.64495,6.23047,0.81763,17,1,,0,0,85,0,
7.46436,0.53591,0.78285,7.10425,0.36011,18,1,,0,0,85,0,
9.02417,0.59997,0.75771,7.47900,1.54517,19,1,,0,0,85,0,
9.89722,0.61225,0.72843,9.24536,0.65186,20,1,,0,0,85,0,
10.34058,0.64671,0.74516,9.91089,0.42969,21,1,,0,0,85,0,
10.70142,0.60537,0.73871,10.35474,0.34668,22,1,,0,0,85,0,
10.97827,0.56472,0.71972,10.71509,0.26318,23,1,,0,0,85,0,
11.53247,0.65392,0.76364,10.99268,0.53979,24,1,,0,0,85,0,
11.87915,0.51175,0.51416,11.58862,0.29053,25,1,,0,0,85,0,
12.37842,0.38165,0.66702,11.93481,0.44360,26,1,,0,0,85,0,
12.82788,0.64285,0.37688,12.64160,0.18628,27,1,,0,0,85,0,
13.24585,0.92247,0.77952,12.88940,0.35645,28,1,,0,0,85,0,
13.48022,0.90263,0.95123,13.25854,0.22168,29,1,,0,0,85,0,
13.71606,0.87683,1.06261,13.53589,0.18018,30,1,,0,0,85,0,
13.99292,0.51216,0.63249,13.77148,0.22144,31,1,,0,0,85,0,
14.32617,0.42824,0.59528,14.00708,0.31909,32,1,,0,0,85,0,
14.85278,0.42264,0.50861,14.63086,0.22192,33,1,,0,0,85,0,
15.19214,0.36735,0.54833,14.86621,0.32593,34,1,,0,0,85,0,
15.68433,0.34222,0.25181,15.24780,0.43652,35,1,,0,0,85,0,
16.19727,0.37747,0.22337,15.69824,0.49902,36,1,,0,0,85,0,
16.59937,0.50088,0.86481,16.29492,0.30444,37,1,,0,0,85,0,
16.90430,0.65644,1.01078,16.65503,0.24927,38,1,,0,0,85,0,
17.50000,0.68989,0.99437,16.91846,0.58154,39,1,,0,0,85,0,
18.56812,0.68459,0.97413,17.51465,1.05347,40,1,,0,0,85,0,
18.96973,0.50955,0.53086,18.78979,0.17993,41,1,,0,0,85,0,
20.48096,0.44838,0.41159,19.02539,1.45557,42,1,,0,0,85,0,
20.86890,0.24998,0.49780,20.53638,0.33252,43,1,,0,0,85,0,
21.29004,0.15155,0.50137,20.88257,0.40747,44,1,,0,0,85,0,
21.57520,0.44423,0.46732,21.34009,0.23511,45,1,,0,0,85,0,
22.00562,0.31195,0.32942,21.83911,0.16650,46,1,,0,0,85,0,
22.28345,0.27603,0.28072,22.01929,0.26416,47,1,,0,0,85,0,
