TIME(2024/08/24 19:26:40.224),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,USER,GSR,GSRV,HR,HRV,
0.00000,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.01367,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.02734,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.04199,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.05566,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.06934,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.08398,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.09766,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.11133,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.12500,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.13867,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.15234,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.16895,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.17969,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.19434,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.20801,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.22168,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.23633,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.25000,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.26367,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.27734,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.29199,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.30469,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.31836,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.34375,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.35156,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.36035,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.37402,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.38867,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.40234,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.41602,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.43066,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.45410,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.46387,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.47168,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.48535,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.49902,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.51270,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
