TIME(2024/07/22 16:51:07.771),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,USER,GSR,GSRV,HR,HRV,
0.95709,0.46959,0.91906,0.70752,0.24957,2,1,,0,0,0,0,
1.26160,0.48313,0.85038,0.97085,0.29074,3,1,,0,0,0,0,
2.06641,0.56466,0.89622,1.27567,0.79074,4,1,,0,0,0,0,
2.23231,0.55629,0.91663,2.08012,0.15219,5,1,,0,0,0,0,
2.98042,0.54328,0.79773,2.49558,0.48483,6,1,,0,0,0,0,
3.36888,0.27399,0.10166,3.07792,0.29096,7,1,,0,0,0,0,
3.64591,0.22862,0.12512,3.38271,0.26320,8,1,,0,0,0,0,
4.22808,0.23069,0.03717,3.65985,0.56823,9,1,,0,0,0,0,
4.75508,0.27706,-0.00152,4.24198,0.51310,10,1,,0,0,0,0,
5.25395,0.30780,0.14074,4.76951,0.48444,11,1,,0,0,0,0,
5.60053,0.41100,0.47874,5.30929,0.29124,12,1,,0,0,0,0,
5.89156,0.42039,0.40100,5.61435,0.27722,13,1,,0,0,0,0,
6.22480,0.40899,0.38512,5.90567,0.31912,14,1,,0,0,0,0,
6.47436,0.31579,0.49258,6.23809,0.23626,15,1,,0,0,0,0,
7.50140,0.27713,0.53814,6.48741,1.01399,16,1,,0,0,0,0,
8.84471,0.29072,0.58638,7.51450,1.33021,17,1,,0,0,0,0,
10.00969,0.50925,0.62958,8.89962,1.11007,18,1,,0,0,0,0,
10.55654,0.28834,0.56025,10.06572,0.49082,19,1,,0,0,0,0,
11.12479,0.32588,0.56194,10.57043,0.55436,20,1,,0,0,0,0,
11.37477,0.53054,0.59324,11.18003,0.19475,21,1,,0,0,0,0,
11.86638,0.54103,0.26655,11.42942,0.43696,22,1,,0,0,0,0,
12.11766,0.51630,0.31342,11.88045,0.23722,23,1,,0,0,0,0,
12.40853,0.43544,0.36825,12.13034,0.27819,24,1,,0,0,0,0,
12.65675,0.36968,0.38370,12.42179,0.23496,25,1,,0,0,0,0,
13.08598,0.33044,0.42135,12.67032,0.41565,26,1,,0,0,0,0,
13.63341,2.28343,0.99338,13.51593,0.11748,27,1,,0,0,0,0,
14.20254,0.41358,0.29394,14.02222,0.18032,28,1,,0,0,0,0,
15.04805,0.41688,0.22294,14.46526,0.58279,29,1,,0,0,0,0,
15.32502,0.12033,0.27152,15.10302,0.22200,30,1,,0,0,0,0,
15.50566,0.33358,0.35007,15.33866,0.16700,31,1,,0,0,0,0,
15.90741,0.44614,0.39577,15.51999,0.38741,32,1,,0,0,0,0,
16.14951,0.48126,0.44279,15.92122,0.22829,33,1,,0,0,0,0,
16.60048,0.47427,0.43465,16.16388,0.43661,34,1,,0,0,0,0,
16.84990,0.38008,0.48364,16.65577,0.19413,35,1,,0,0,0,0,
17.22469,0.45835,0.50757,16.86365,0.36103,36,1,,0,0,0,0,
17.47432,0.47230,0.41390,17.23804,0.23627,37,1,,0,0,0,0,
17.83447,0.46340,0.33607,17.48911,0.34536,38,1,,0,0,0,0,
