TIME(2024/08/24 17:35:09.245),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,USER,GSR,GSRV,HR,HRV,
0.00000,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.01343,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.02747,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.04089,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.05542,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.06909,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.08362,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.09741,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.11084,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.12439,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.13818,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.15186,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.16614,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.17957,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.19373,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.20764,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.22168,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.23523,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.24915,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.26331,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.27698,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.29041,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.30457,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.31995,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.33276,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.34595,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.36084,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.37390,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.38794,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.40137,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.41528,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.42920,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.44409,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.45667,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.47119,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.48486,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.49902,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.51233,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.52649,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.54004,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.55725,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.56775,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.58142,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.59595,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.60950,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.62390,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.63708,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.65137,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.66541,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.67896,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.69348,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.70740,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.72107,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.73572,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.74878,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.77466,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.78186,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.79675,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.81067,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.82434,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.83813,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.85205,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.86609,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.88000,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.89404,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.90930,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.92188,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.94629,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.95483,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.96277,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
0.97681,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.00110,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.00952,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.01855,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.03210,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.04614,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.05981,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.07349,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.08765,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.11182,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.12036,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.12915,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.14343,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.15698,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.17114,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.18457,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.19861,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.21228,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.22668,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.23999,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.25415,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.26794,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.28259,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.29663,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.31018,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.32361,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.33777,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.35120,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.36536,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.37866,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.39380,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.40637,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.42065,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.43408,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.44788,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.46191,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.47571,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.49023,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.50427,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.51782,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.53247,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.54541,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.55933,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.57324,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.58728,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.60120,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.61487,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.62793,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.64282,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.65576,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.67310,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.68408,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.69727,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
1.71155,0.00000,0.00000,0.00000,0.00000,1,0,,0,0,0,0,
